cartridge,bullet_diameter,bullet_type,bullet_weight,powder_type,burn_rate_index,charge_weight,velocity_fps,barrel_length,twist_rate,coal,compressed_load
260_rem,0.264,vld_target,130,vihtavuori_n540,117,38.3,2766,24.75,9,2.795,no
260_rem,0.264,vld_target,130,vihtavuori_n150,124,37.3,2674,24.75,9,2.795,no
260_rem,0.264,vld_target,130,vihtavuori_n550,129,41.5,2808,24.75,9,2.795,no
260_rem,0.264,vld_target,130,vihtavuori_n555,144,43.8,2835,24.75,9,2.795,no
260_rem,0.264,scirocco_ii,130,vihtavuori_n140,112,35.8,2575,24.75,9,2.795,no
260_rem,0.264,scirocco_ii,130,vihtavuori_n540,117,37.8,2687,24.75,9,2.795,no
260_rem,0.264,scirocco_ii,130,vihtavuori_n150,124,36.1,2608,24.75,9,2.795,no
260_rem,0.264,scirocco_ii,130,vihtavuori_n550,129,40.1,2717,24.75,9,2.795,no
260_rem,0.264,scirocco_ii,130,vihtavuori_n560,147,46.3,2776,24.75,9,2.795,no
260_rem,0.264,classic_hunter,135,vihtavuori_n540,117,37.3,2687,24.75,9,2.795,no
260_rem,0.264,classic_hunter,135,vihtavuori_n150,124,36.6,2621,24.75,9,2.795,no
260_rem,0.264,classic_hunter,135,vihtavuori_n550,129,40.9,2733,24.75,9,2.795,no
260_rem,0.264,classic_hunter,135,vihtavuori_n160,143,44,2723,24.75,9,2.795,no
260_rem,0.264,classic_hunter,135,vihtavuori_n560,147,46.6,2776,24.75,9,2.795,no
260_rem,0.264,scenar_l,136,vihtavuori_n550,129,41.7,2740,24.75,9,2.795,no
260_rem,0.264,scenar,139,vihtavuori_n550,129,39.5,2657,24.75,9,2.795,no
260_rem,0.264,scenar,139,vihtavuori_n160,143,43.4,2674,24.75,9,2.795,no
260_rem,0.264,scenar,139,vihtavuori_n560,147,46.1,2723,24.75,9,2.795,no
260_rem,0.264,elite_hunter,140,vihtavuori_n150,124,36.1,2562,24.75,9,2.795,no
260_rem,0.264,elite_hunter,140,vihtavuori_n550,129,39.7,2661,24.75,9,2.795,no
260_rem,0.264,elite_hunter,140,vihtavuori_n160,143,43.1,2661,24.75,9,2.795,no
260_rem,0.264,elite_hunter,140,vihtavuori_n560,147,46.1,2736,24.75,9,2.795,no
260_rem,0.264,elite_hunter,140,vihtavuori_n565,156,48.9,2749,24.75,9,2.795,no
260_rem,0.264,vld_target,140,vihtavuori_n540,117,37.7,2644,24.75,9,2.795,no
260_rem,0.264,vld_target,140,vihtavuori_n150,124,36.6,2569,24.75,9,2.795,no
260_rem,0.264,vld_target,140,vihtavuori_n550,129,40.1,2671,24.75,9,2.795,no
260_rem,0.264,vld_target,140,vihtavuori_n160,143,44.3,2703,24.75,9,2.795,no
260_rem,0.264,vld_target,140,vihtavuori_n560,147,46.1,2733,24.75,9,2.795,no
260_rem,0.264,vld_target,140,vihtavuori_n565,156,48.3,2733,24.75,9,2.795,no
260_rem,0.264,gmx,140,vihtavuori_n140,112,34,2247,24.75,9,2.795,no
260_rem,0.264,gmx,140,vihtavuori_n540,117,37.3,2493,24.75,9,2.795,no
260_rem,0.264,gmx,140,vihtavuori_n150,124,33.6,2241,24.75,9,2.795,no
260_rem,0.264,gmx,140,vihtavuori_n550,129,39.7,2530,24.75,9,2.795,no
260_rem,0.264,naturalis_n507,140,vihtavuori_n550,129,39.2,2546,24.75,9,2.886,no
260_rem,0.264,naturalis_n507,140,vihtavuori_n160,143,40.3,2513,24.75,9,2.886,no
260_rem,0.264,naturalis_n507,140,vihtavuori_n560,147,43.8,2556,24.75,9,2.886,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n150,124,34,2451,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n550,129,38.4,2602,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n555,144,41.5,2615,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n160,143,40.4,2582,24.75,9,2.756,no
260_rem,0.264,naturalis_n563,140,vihtavuori_n560,147,45.1,2680,24.75,9,2.756,no
260_rem,0.264,accubond,140,vihtavuori_n550,129,40.9,2661,24.75,9,2.756,no
260_rem,0.264,a_frame,140,vihtavuori_n550,129,37.3,2507,24.75,9,2.795,no
260_rem,0.264,a_frame,140,vihtavuori_n160,143,38.3,2467,24.75,9,2.795,no
260_rem,0.264,a_frame,140,vihtavuori_n560,147,43.8,2621,24.75,9,2.795,no
260_rem,0.264,a_frame,140,vihtavuori_n565,156,45.1,2628,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n140,112,33.8,2418,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n540,117,36.3,2539,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n150,124,34.7,2411,24.75,9,2.795,no
260_rem,0.264,eld_x,143,vihtavuori_n550,129,39.5,2605,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n540,117,38.1,2635,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n150,124,36.3,2516,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,144,vihtavuori_n550,129,40.1,2667,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n550,129,38.4,2520,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n555,144,41.1,2621,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n160,143,41.1,2500,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n560,147,44.8,2559,24.75,9,2.795,no
260_rem,0.264,fmjbt,144,vihtavuori_n565,156,46.1,2664,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n140,112,35.8,2513,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n540,117,36.7,2582,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n150,124,36.3,2516,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n550,129,39.7,2631,24.75,9,2.795,no
260_rem,0.264,maxrange_target_gb582,144,vihtavuori_n160,143,44.4,2654,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n540,117,37,2520,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n150,124,35,2392,24.75,9,2.795,no
260_rem,0.264,long_range_hybrid_target,153.5,vihtavuori_n550,129,39,2559,24.75,9,2.795,no
260_rem,0.264,mega,155,vihtavuori_n160,143,37.1,2332,24.75,9,2.736,no
260_rem,0.264,mega,155,vihtavuori_n165,153,43.7,2478,24.75,9,2.736,no
260_rem,0.264,mega,155,vihtavuori_n560,147,42,2412,24.75,9,2.736,no
270_weatherby_mag,0.277,psp,100,vihtavuori_n550,129,66.8,3401,25.5,12,3.11,no
270_weatherby_mag,0.277,psp,100,vihtavuori_n160,143,71,3421,25.5,12,3.11,no
270_weatherby_mag,0.277,psp,100,vihtavuori_n165,153,78.4,3428,25.5,12,3.11,no
270_weatherby_mag,0.277,pspcl,130,vihtavuori_n160,143,66.5,3080,25.5,12,3.236,no
270_weatherby_mag,0.277,pspcl,130,vihtavuori_n165,153,71.3,3055,25.5,12,3.236,no
270_weatherby_mag,0.277,pspcl,130,vihtavuori_n560,147,72.7,3108,25.5,12,3.236,no
270_weatherby_mag,0.277,hpbt,135,vihtavuori_n160,143,65,2964,25.5,12,3.268,no
270_weatherby_mag,0.277,hpbt,135,vihtavuori_n165,153,70.2,3029,25.5,12,3.268,no
270_weatherby_mag,0.277,hpbt,135,vihtavuori_n560,147,71.2,3137,25.5,12,3.268,no
270_weatherby_mag,0.277,partition,150,vihtavuori_n165,153,67,2876,25.5,12,3.248,no
